brand_key,brand_name,region,currency,bundle_discount,bundle_discount__status,cancellation_window,cancellation_window__status,coupon_issuance_frequency,coupon_issuance_frequency__status,coupon_offer,coupon_offer__status,coupon_stacking_rule,coupon_stacking_rule__status,coupon_usage_limit,coupon_usage_limit__status,coupon_validity_period,coupon_validity_period__status,defect_claim_window,defect_claim_window__status,defect_return_remedy,defect_return_remedy__status,delivery_issue_reporting_window,delivery_issue_reporting_window__status,discount_eligibility,discount_eligibility__status,discount_scope,discount_scope__status,discount_threshold,discount_threshold__status,eligible_group_discount,eligible_group_discount__status,exchange_window,exchange_window__status,first_order_discount,first_order_discount__status,free_shipping_method,free_shipping_method__status,free_shipping_scope,free_shipping_scope__status,free_shipping_threshold,free_shipping_threshold__status,member_discount,member_discount__status,optional_protection_plan,optional_protection_plan__status,promotion_discount,promotion_discount__status,promotion_period,promotion_period__status,promotion_schedule,promotion_schedule__status,public_coupon,public_coupon__status,referral_discount,referral_discount__status,refund_processing_time,refund_processing_time__status,refurbished_warranty_term,refurbished_warranty_term__status,replacement_processing_time,replacement_processing_time__status,restocking_fee,restocking_fee__status,return_authorization_requirement,return_authorization_requirement__status,return_condition,return_condition__status,return_label_delivery_time,return_label_delivery_time__status,return_method,return_method__status,return_shipping_responsibility,return_shipping_responsibility__status,return_window,return_window__status,shipping_address_change_rule,shipping_address_change_rule__status,shipping_destination_scope,shipping_destination_scope__status,shipping_fee_below_threshold,shipping_fee_below_threshold__status,shipping_method,shipping_method__status,shipping_processing_time,shipping_processing_time__status,shipping_restriction,shipping_restriction__status,shipping_transit_time,shipping_transit_time__status,signup_discount,signup_discount__status,student_discount,student_discount__status,subscription_discount,subscription_discount__status,warranty_extension,warranty_extension__status,warranty_registration_requirement,warranty_registration_requirement__status,warranty_remedy,warranty_remedy__status,warranty_replacement_term,warranty_replacement_term__status,warranty_scope,warranty_scope__status,warranty_shipping_responsibility,warranty_shipping_responsibility__status,warranty_start_basis,warranty_start_basis__status,warranty_term,warranty_term__status
eufy,eufy,US,USD,,,,,,,,,Cannot be combined with another discount code,OK,Single use,OK,14 days after the email,OK,,,,,,,,,Accessories excluded,OK,,,,,,,,,,,,,,,New-member coupons after account registration and activation,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code WSNSQGYIEI,OK,,,,,,,,,,,,,,,,,,,,
garmin,Garmin,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iscooter,iScooter,US,USD,,,,,,,,,,,,,,,,,,,,,"Medical, military, nonprofit or government, first responder, student, and teacher groups",OK,,,,,5% one-time code on selected scooters,OK,14 days,OK,,,,,Accessories,OK,,,,,,,,,,,,,,,,,,,,,,,25% may apply to non-quality returns,OK,,,"Unused, unopened, unworn, and fewer than 10 odometer miles for non-quality exchange",OK,,,,,Customer may pay for non-quality returns,OK,30 days after receipt,OK,,,United States only,OK,,,Ground shipping,OK,,,,,Scooters: 2–5 business days; Accessories: 3–10 working days,OK,,,,,,,,,,,,,,,Original material and workmanship defects; consumables excluded,OK,,,Physical receipt date,OK,12 months for scooters and hoverboards,OK
jackery,Jackery,US,USD,,,,,,,,,Stackable additional discount,OK,,,,,,,,,,,"Medical professionals, first responders, military members, and teachers",OK,"Excludes new releases, refurbished products, and special collaborations",OK,,,5%,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,OK,,,,,,,,,,,,,,,,,,
keychron,Keychron,US,USD,,,,,,,10%,OK,,,Single use,OK,,,,,,,,,,,"Excludes HE series, products launched in the prior six months, and sitewide-promotion orders",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,,,,,,,,,,,,,,,
laifen,Laifen,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All purchases,OK,,,,,,,,,,,,,,,,,3–5 working days after warehouse receipt,OK,3 months unless remaining original warranty is longer,OK,,,,,,,Undamaged with all accessories and original packaging,OK,,,,,Buyer pays for non-quality returns,OK,30 days after delivery,OK,,,,,,,,,Qualifying weekday orders by noon Eastern usually ship the same day,OK,,,2–7 business days after shipment,OK,,,,,,,,,,,,,,,,,,,Later verifiable date of purchase or delivery receipt,OK,1 or 2 years depending on product model,OK
levoit,LEVOIT,US,USD,,,,,One code every 24 hours,OK,,,,,,,,,,,,,,,,,,,,,One-time checkout code,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMA authorization required,OK,Eligible direct purchases subject to stated condition requirements,OK,,,,,,,30 days after delivery,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nanoleaf,Nanoleaf,US,USD,,,,,,,,,One discount or promotional offer per order unless stated otherwise,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Subject to condition, authorization, fees, and listed exceptions",OK,,,,,,,30 days,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olight,Olight,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1–5 business days,OK,,,Typically within 2 business days,OK,,,,,"Unused, original packaging, with promotional or free items",OK,,,,,Prepaid label may be provided within 30 days; customer may pay after 30 days,OK,30 days after receipt,OK,,,,,,,,,,,,,,,,,,,,,,,,,Repair or replacement without charge; outbound shipping covered,OK,,,,,,,,,Lifetime for eligible products purchased after 2023; accessories excluded,OK
reolink,Reolink,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Third Wednesday of each month,OK,,UNVERIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roborock,Roborock,US,USD,,,,,,,,,,,,,,,,,,,,,"Military, first responders, teachers, doctors, nurses, and hospital employees",OK,,,Vacuum purchase over $150,OK,Unique code for qualifying vacuums,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,OK,,,,,,,,,,,,,,,,,,,,
songmics,SONGMICS,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All official-store products,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Customer pays for preference-based returns; SONGMICS pays for damaged, defective, incomplete, incorrect, misdescribed, or delayed orders",OK,Cancel within 30 days of possession; send back within 30 days after cancellation notice,OK,,,,,,,"FedEx, UPS, USPS, Amazon shipping, or truck delivery depending on item",OK,,,,,3–8 working days; larger furniture may use truck delivery,OK,18%,OK,,,,,,,,,,,,,,,,,,,,
soundcore,soundcore,US,USD,,,,,,,,,,,Single use,OK,30 days after issue,OK,,,,,,,,,,,$1 deposit,OK,,,,,,,Standard shipping,OK,All customers,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3–7 business days,OK,$30 single-use launch code after a $1 deposit,OK,,,,,,,,,,,,,,,,,,,,
valerion,Valerion,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard shipping,OK,"Projectors, screens, and accessories",OK,,,,,,,,,,,,,,,,,Up to 15 days after inspection,OK,,,,,,,,,All accessories and original packaging,OK,,,,,Buyer pays for non-quality returns,OK,30 days after delivery,OK,Cannot change after preparation or shipment; reshipping may incur a fee,OK,,,,,,,,,"Customs duties, VAT, and other import fees may apply",OK,3–4 business days after processing,OK,,,,,,,,,,,,,,,,,,,,,,
vantrue,Vantrue,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. dash-cam orders,OK,,,,,,,,,,,,,,,,,,,12 months; extended warranty plans not available,OK,,,,,Official authorization process required,OK,Eligible unused or defective Vantrue.com purchases,OK,,,,,Customer pays change-of-mind returns; original shipping deducted,OK,30 days,OK,,,,,,,,,Most orders within 1 business day,OK,,,About 3–5 business days,OK,,,,,,,"6 months, for 18 months total",OK,Register an eligible product on Vantrue.com,OK,,,,,,,,,Original order date,OK,12 months,OK
vevor,VEVOR,US,USD,,,,,,,,,,,,,,,90 days after delivery,OK,,,,,,,,,Order $99+,OK,,,,,,,,,Most products,OK,,,"Tier discounts, category savings, exclusive sales, and reward coupons",OK,,,,,,,,,,,,,,,,,,,,,Authorization required,OK,Most items in original condition,OK,,,,,,,30 days after delivery,OK,,,,,,,,,1–2 business days,OK,Certain remote areas excluded; order-page charges govern,OK,2–6 business days; heavy products about 10–15 working days,OK,$5,OK,,,,,,,,,Free repair for covered manufacturing defects or mechanical failures,OK,,,,,,,,,12 months,OK
viofo,VIOFO,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vivosun,VIVOSUN,US,USD,,,,,,,,,,,,,,,,,Return or replacement without charge after official review,OK,,,,,,,,,,,,,8%,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advance approval required,OK,Product-condition rules apply,OK,,,,,Return-shipping deductions may apply,OK,30 days after delivery,OK,,,48 contiguous U.S. states,OK,,,,,Most orders within 1 business day,OK,"Alaska, Hawaii, Puerto Rico, Guam, U.S. Virgin Islands, and other U.S. territories excluded",OK,Standard shipping typically 5–10 business days,OK,,,,,,,,,,,,,,,,,,,,,Most products: 2 years; Eligible LED grow lights: up to 5 years,OK
waterdrop,Waterdrop,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$20,OK,,,Up to 10%,OK,,,,,,,,,,,,,,,,
worx,WORX,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3–5 business days after arrival and scan,OK,,,,,Shipping or restocking fees may apply,OK,,,Original packaging with all original components,OK,Email: 3–5 days; mail: 7–10 business days,OK,WORX return label required,OK,,,30 days,OK,,,,,,,,,,,,,,,,,,,,,,,Register within 30 days of purchase; proof of purchase required,OK,,,,,,,,,,,Registered eligible tools: 3 years; Eligible tools without timely registration: 24 months,OK
